Year,January,February,March,April,May,June,July,August,September,October,November,December,Dec–Jan–Feb,Mar–Apr–May,Jun–Jul–Aug,Sep–Oct–Nov,Meteorological year
1961,-0.133,-0.253,-0.021,0.216,0.345,-0.185,0.003,0.443,0.798,0.323,0.542,-0.177,-0.153,0.18,0.087,0.554,0.167
1962,-0.043,0.007,0.02,-0.012,-0.376,-0.651,-0.863,-0.091,0.294,-0.453,0.144,-0.138,-0.071,-0.123,-0.535,-0.005,-0.184
1963,0.072,-0.318,0.169,0.175,-0.338,-0.404,0.151,0.239,0.687,1.05,0.553,0.038,-0.128,0.002,-0.005,0.763,0.158
1964,0.007,0.178,-0.119,0.285,-0.135,-0.584,-0.601,-0.025,-0.187,-0.671,-0.742,-0.583,0.074,0.01,-0.403,-0.533,-0.213
1965,-0.47,0.018,-0.737,-0.185,0.083,0.454,0.006,0.129,0.31,0.056,0.014,0.344,-0.345,-0.28,0.196,0.127,-0.075
1966,0.363,0.006,-0.027,0.053,0.104,0.189,0.225,-0.301,-0.521,0.169,-0.075,0.033,0.238,0.043,0.038,-0.142,0.044
1967,-0.01,-0.146,-0.179,-0.03,0.494,-0.091,0.051,0.347,0.313,0.327,-0.236,-0.257,-0.041,0.095,0.102,0.135,0.073
1968,-0.183,-0.468,-0.471,-0.854,-1.42,-0.525,-0.164,-0.309,-0.631,0.025,0.345,-0.124,-0.303,-0.915,-0.333,-0.087,-0.409
1969,0.058,0.616,0.482,0.395,0.678,0.482,0.341,0.112,0.601,-0.148,0.482,-0.084,0.183,0.518,0.312,0.312,0.331
1970,0.202,0.278,0.275,0.531,0.606,0.607,-0.076,-0.262,-0.076,0.02,-0.458,0.468,0.132,0.471,0.09,-0.171,0.13
1971,0.056,-0.144,0.003,-0.284,-0.271,-0.244,0.272,-0.09,-0.12,-0.777,-0.479,0.012,0.127,-0.184,-0.021,-0.459,-0.134
1972,-0.205,-0.399,0.037,-0.552,0.593,0.851,0.325,-0.028,0.034,0.194,0.507,0.507,-0.197,0.026,0.383,0.245,0.114
1973,0.896,0.922,0.646,1.066,0.319,0.942,0.384,-0.021,-0.098,-0.193,-0.054,0.005,0.775,0.677,0.435,-0.115,0.443
1974,-0.151,-0.106,-0.336,-0.029,-0.003,-0.275,-0.355,-0.096,-0.165,-0.344,-0.288,-0.504,-0.084,-0.123,-0.242,-0.266,-0.179
1975,-0.298,-0.016,0.083,-0.036,-0.184,0.106,-0.814,0.095,0.12,-0.036,-0.197,-0.129,-0.273,-0.046,-0.204,-0.038,-0.14
1976,-0.084,-0.445,-0.411,-0.163,0.079,-0.181,0.034,0.111,-0.445,-0.386,-0.202,0.132,-0.219,-0.165,-0.012,-0.344,-0.185
1977,0.025,0.037,0.453,0.048,-0.19,0.372,0.947,0.469,0.219,0.154,0.361,0.086,0.065,0.104,0.596,0.245,0.252
1978,0.132,0.267,0.055,-0.07,-0.058,-0.122,0.761,-0.717,-0.208,0.156,0.076,-0.106,0.162,-0.024,-0.026,0.008,0.03
1979,-0.219,0.093,-0.021,-0.09,0.093,-0.545,0.047,0.724,-0.301,0.506,0.023,0.372,-0.077,-0.006,0.075,0.076,0.017
1980,0.003,-0.034,0.45,0.631,0.8,0.328,0.463,0.543,-0.197,0.457,-0.058,0.207,0.114,0.627,0.445,0.067,0.313
1981,0.165,0.312,0.277,0.393,0.807,-0.092,-0.58,0.429,0.097,-0.157,0.43,0.202,0.228,0.492,-0.081,0.123,0.191
