Year,January,February,March,April,May,June,July,August,September,October,November,December,Dec–Jan–Feb,Mar–Apr–May,Jun–Jul–Aug,Sep–Oct–Nov,Meteorological year
1961,0.398,0.262,0.259,0.284,0.373,0.321,0.009,0,-0.053,-0.12,0.144,-0.21,0.437,0.305,0.11,-0.01,0.211
1962,0.105,0.225,0.28,0.028,-0.18,-0.205,-0.031,-0.001,-0.021,0.255,0.21,0.117,0.04,0.043,-0.08,0.148,0.038
1963,-0.158,0.576,-0.222,0.009,-0.023,-0.114,0.211,0.166,0.382,0.664,0.402,-0.218,0.178,-0.079,0.088,0.483,0.168
1964,-0.302,-0.401,-0.278,-0.16,-0.09,-0.084,-0.232,-0.357,-0.25,-0.457,-0.128,-0.638,-0.307,-0.176,-0.224,-0.278,-0.246
1965,0.207,-0.449,-0.273,-0.574,-0.137,-0.031,-0.288,-0.241,-0.143,-0.058,-0.053,0.295,-0.293,-0.328,-0.187,-0.085,-0.223
1966,0.458,0.757,0.394,-0.019,-0.068,0.283,0.271,0.157,-0.077,0.034,-0.066,-0.22,0.504,0.102,0.237,-0.037,0.201
1967,-0.289,-0.562,-0.118,-0.18,0.233,-0.352,-0.213,-0.027,-0.02,0.326,0.015,-0.216,-0.357,-0.022,-0.198,0.107,-0.117
1968,-0.398,-0.419,0.417,-0.148,-0.342,-0.218,-0.205,-0.22,0.019,-0.013,0.233,-0.081,-0.344,-0.025,-0.215,0.08,-0.126
1969,-0.86,-0.659,-0.022,0.047,0.227,0.018,-0.062,0.038,-0.076,0.042,0.278,0.467,-0.533,0.084,-0.002,0.081,-0.092
1970,0.07,0.613,-0.046,0.361,0.165,0.173,0.048,0.098,-0.134,-0.152,0.129,-0.393,0.383,0.16,0.107,-0.052,0.15
1971,-0.047,-0.04,-0.006,-0.19,-0.018,-0.208,-0.004,-0.071,0.007,-0.112,-0.038,0.13,-0.16,-0.071,-0.094,-0.048,-0.093
1972,-0.993,-1.301,-0.176,-0.137,-0.051,0.156,0.087,-0.001,-0.157,-0.039,0.09,-0.128,-0.721,-0.121,0.081,-0.036,-0.199
1973,0.225,0.96,0.705,0.438,0.292,0.395,0.336,0.168,-0.059,0.156,-0.262,-0.088,0.352,0.478,0.3,-0.055,0.269
1974,-0.495,-0.427,0.017,-0.168,-0.099,-0.101,-0.165,-0.231,-0.329,-0.188,0.102,-0.247,-0.337,-0.083,-0.165,-0.138,-0.181
1975,0.37,0.092,0.207,0.247,0.265,0.233,0.239,0.06,0.304,-0.193,-0.52,-0.334,0.071,0.24,0.177,-0.136,0.088
1976,0.123,-0.451,-0.867,-0.034,-0.202,-0.354,-0.195,-0.193,-0.146,-0.692,-0.422,-0.099,-0.221,-0.368,-0.247,-0.42,-0.314
1977,-0.543,0.772,0.958,0.438,0.242,0.353,0.166,0.1,0.168,0.123,0.552,-0.028,0.043,0.546,0.206,0.281,0.269
1978,0.108,0.164,0.367,0.169,0.016,-0.244,-0.009,-0.257,0.015,-0.046,-0.238,0.157,0.081,0.184,-0.17,-0.09,0.001
1979,0.377,-0.121,0.44,0.086,0.059,0.18,0.059,0.294,0.271,0.528,0.386,0.839,0.138,0.195,0.178,0.395,0.226
1980,0.093,0.213,0.008,0.571,0.437,0.287,0.315,0.173,0.074,0.228,0.747,0.253,0.382,0.339,0.258,0.35,0.332
1981,1.09,0.965,1.14,0.391,0.259,0.176,0.215,0.244,0.231,0.148,0.21,0.744,0.769,0.597,0.212,0.196,0.443
1982,0.113,-0.209,0.015,0.108,0.168,-0.131,0.142,0.114,0.237,0.072,-0.338,0.306,0.216,0.097,0.042,-0.009,0.086
